filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
PAO92523_pass_71307b67_e3e0455f_199.pod5	ec44322e-01f0-486e-9708-75619d26daaf	e3e0455f7da9f1a836287fc130ffc62591587f55	0	514	2	4723.952000	1.719000	1035	TRUE	4723.952000	1432	1.719000	650	9.334935	2.926115	99.818596	21.198978	99.818596	21.198978
PAO92523_pass_71307b67_e3e0455f_199.pod5	62846467-559d-4c31-9e5a-70edf2c0cb0b	e3e0455f7da9f1a836287fc130ffc62591587f55	0	84	4	4724.427400	2.089200	1286	TRUE	4724.427400	1741	2.089200	817	11.145540	3.043091	100.329300	20.195871	100.329300	20.195871
PAO92523_pass_71307b67_e3e0455f_199.pod5	7092c57f-0484-431a-9331-c2e63e8709a0	e3e0455f7da9f1a836287fc130ffc62591587f55	0	505	4	4727.863800	2.310800	1423	TRUE	4727.863800	1925	2.310800	891	10.628675	2.996955	100.868065	19.794628	100.868065	19.794628
PAO92523_pass_71307b67_e3e0455f_199.pod5	8e100894-c576-429e-818b-bab7f1eec87e	e3e0455f7da9f1a836287fc130ffc62591587f55	0	80	1	4723.269800	1.962000	1188	TRUE	4723.269800	1635	1.962000	688	11.736175	2.923395	100.194603	18.590902	100.194603	18.590902
PAO92523_pass_71307b67_e3e0455f_199.pod5	99b10c95-6d7e-4538-8f73-ccbb374386cf	e3e0455f7da9f1a836287fc130ffc62591587f55	0	94	1	4728.700000	1.974600	1196	TRUE	4728.700000	1645	1.974600	772	11.799375	3.039418	99.251778	18.323406	99.251778	18.323406
PAO92523_pass_71307b67_e3e0455f_199.pod5	1ce98238-2890-440a-be52-51eba4ea37ba	e3e0455f7da9f1a836287fc130ffc62591587f55	0	529	1	4726.951000	0.785800	485	TRUE	4726.951000	654	0.785800	294	10.694066	2.954972	103.154053	21.265852	103.154053	21.265852
PAO92523_pass_71307b67_e3e0455f_199.pod5	b5771b32-7044-4004-9c19-de70ef5947f3	e3e0455f7da9f1a836287fc130ffc62591587f55	0	64	4	4723.152800	2.079000	1303	TRUE	4723.152800	1732	2.079000	874	10.542632	3.079448	100.847481	20.396492	100.847481	20.396492
PAO92523_pass_71307b67_e3e0455f_199.pod5	f344a2ef-6ab7-4c56-b5da-3b09e79e8cbf	e3e0455f7da9f1a836287fc130ffc62591587f55	0	470	2	4724.967800	2.090400	1225	TRUE	4724.967800	1742	2.090400	786	11.332193	2.974477	100.967209	19.594007	100.967209	19.594007
PAO92523_pass_71307b67_e3e0455f_199.pod5	c88bd1ea-b4a7-46ed-a841-27f05c624fec	e3e0455f7da9f1a836287fc130ffc62591587f55	0	448	3	4724.232600	0.949400	609	TRUE	4724.251800	775	0.930200	422	10.555334	3.178852	102.465637	17.119678	102.465637	17.119678
PAO92523_pass_71307b67_e3e0455f_199.pod5	d5a03d43-72ee-45df-a3aa-2ada1233f28d	e3e0455f7da9f1a836287fc130ffc62591587f55	0	66	1	4723.202000	2.029800	1263	TRUE	4723.202000	1691	2.029800	756	10.281666	2.922377	94.531998	21.198978	94.531998	21.198978
